"id","male","Eqp","Age","BodyweightKg","Y","super","obs","ratio","Age2"
1,0,3,43.5,56,132.5,0,1,2.36607142857143,1892.25
1,0,3,44.5,56,125,0,2,2.23214285714286,1980.25
1,0,3,45.5,54.6,125,0,3,2.28937728937729,2070.25
1,0,3,46.5,54.8,125,0,4,2.28102189781022,2162.25
1,0,3,46.5,56,150,1,5,2.67857142857143,2162.25
1,0,3,47.5,56,150.5,1,6,2.6875,2256.25
1,0,3,60.5,53.5,142.5,1,7,2.66355140186916,3660.25
1,0,3,61.5,54.95,145,1,8,2.63876251137398,3782.25
1,0,3,65.5,54.7,137.5,1,9,2.51371115173675,4290.25
1,0,3,69.5,54.55,115,0,10,2.10815765352887,4830.25
1,0,4,70.5,54.6,80,0,11,1.46520146520147,4970.25
2,1,1,20,82.5,210,1,1,2.54545454545455,400
2,1,1,29,94.53,294.84,1,2,3.11900983814662,841
2,1,1,29,96.8,332.5,1,3,3.4349173553719,841
2,1,1,33,90,295,1,4,3.27777777777778,1089
2,1,1,34,88.72,305,1,5,3.43778178539225,1156
2,1,1,34,88.68,320,1,6,3.6084799278304,1156
2,1,1,36.5,90,322.5,1,7,3.58333333333333,1332.25
2,1,2,38,88.4,227.5,1,8,2.57352941176471,1444
3,0,3,48.5,47.5,90,0,1,1.89473684210526,2352.25
3,0,3,49,51,80,0,2,1.56862745098039,2401
3,0,3,49.5,51.4,95,0,3,1.84824902723735,2450.25
3,0,3,50.5,51,110,0,4,2.15686274509804,2550.25
3,0,3,51,54.2,117.5,0,5,2.16789667896679,2601
3,0,3,51.5,54.3,122.5,0,6,2.25598526703499,2652.25
3,0,3,52.5,55,127.5,0,7,2.31818181818182,2756.25
3,0,3,53.5,54.8,132.5,0,8,2.41788321167883,2862.25
3,0,3,54.5,55.4,125,0,9,2.25631768953069,2970.25
3,0,3,56.5,58,125,0,10,2.1551724137931,3192.25
3,0,3,59,59.3,112.5,0,11,1.89713322091062,3481
3,0,4,75,60.5,70,0,12,1.15702479338843,5625
4,1,3,40,67.3,222.5,1,1,3.30609212481426,1600
4,1,3,42,66.95,237.5,1,2,3.54742345033607,1764
4,1,3,42,67.5,240,1,3,3.55555555555556,1764
4,1,3,44,73,260,1,4,3.56164383561644,1936
4,1,3,45,73.6,270,1,5,3.66847826086957,2025
4,1,1,46,72.2,260,1,6,3.601108033241,2116
4,1,1,48,74.1,260,1,7,3.50877192982456,2304
4,1,2,49,73,215,1,8,2.94520547945205,2401
4,1,4,51,74.4,230,1,9,3.09139784946237,2601
4,1,2,52,70.8,230,1,10,3.24858757062147,2704
4,1,2,53,74.3,232.5,1,11,3.12920592193809,2809
4,1,2,54,72.2,215,1,12,2.97783933518006,2916
5,1,3,43.5,67.5,150,0,1,2.22222222222222,1892.25
5,1,3,45.5,67.5,160,0,2,2.37037037037037,2070.25
5,1,3,51.5,73.8,180,0,3,2.4390243902439,2652.25
5,1,4,60.5,71.95,115,0,4,1.59833217512161,3660.25
5,1,4,61.5,77.07,135,0,5,1.7516543402102,3782.25
6,1,3,40,67.1,240,1,1,3.57675111773472,1600
6,1,3,43,66.7,220,1,2,3.29835082458771,1849
6,1,3,45,66.8,210,1,3,3.1437125748503,2025
6,1,3,48,67.2,210,1,4,3.125,2304
6,1,3,50,66.8,202.5,1,5,3.0314371257485,2500
6,1,3,51,67.5,220,1,6,3.25925925925926,2601
6,1,3,53,67.5,200,1,7,2.96296296296296,2809
6,1,3,54,66.6,200,1,8,3.003003003003,2916
6,1,3,57,66.86,210,1,9,3.1408914148968,3249
6,1,3,60,65.5,182.5,1,10,2.78625954198473,3600
6,1,4,65,64.37,135,0,11,2.09725027186578,4225
6,1,4,66,63.4,127.5,0,12,2.01104100946372,4356
7,0,3,28,75,170,0,1,2.26666666666667,784
7,0,3,30,75.95,195,1,2,2.56747860434496,900
7,0,3,38.5,84.4,150,0,3,1.77725118483412,1482.25
7,0,3,39.5,85,140,0,4,1.64705882352941,1560.25
7,0,3,41,84.92,155,0,5,1.82524729156854,1681
7,0,3,41,84.92,155,0,6,1.82524729156854,1681
8,1,3,22.5,81.6,270,1,1,3.30882352941176,506.25
8,1,3,31.5,101.7,170,0,2,1.67158308751229,992.25
8,1,4,32.5,104.15,195,0,3,1.87229956793087,1056.25
8,1,4,32.5,102.95,200,0,4,1.94269062651773,1056.25
8,1,4,34.5,107.6,212.5,0,5,1.97490706319703,1190.25
8,1,4,34.5,108.45,210,0,6,1.93637621023513,1190.25
8,1,4,35.5,114.1,220,0,7,1.92813321647677,1260.25
9,1,3,17.5,87.5,260,1,1,2.97142857142857,306.25
9,1,3,18.5,93,310,1,2,3.33333333333333,342.25
9,1,3,19.5,89.95,310,1,3,3.44635908838243,380.25
9,1,3,29.5,102.8,380,1,4,3.69649805447471,870.25
10,1,1,28,74.2,240,1,1,3.23450134770889,784
10,1,3,29,74.95,230,1,2,3.06871247498332,841
10,1,3,30,81.9,267.5,1,3,3.26617826617827,900
10,1,3,34,87.6,250,1,4,2.85388127853881,1156
10,1,4,34,87.6,250,1,5,2.85388127853881,1156
10,1,4,35,90.6,270,1,6,2.98013245033113,1225
10,1,4,39,91.8,270,1,7,2.94117647058824,1521
10,1,4,39,92.4,275,1,8,2.97619047619048,1521
10,1,4,39,90.6,265,1,9,2.92494481236203,1521
10,1,4,40,92.4,285,1,10,3.08441558441558,1600
11,0,3,31.5,51.2,135,1,1,2.63671875,992.25
11,0,3,32.5,52,145,1,2,2.78846153846154,1056.25
11,0,3,35.5,51.44,155,1,3,3.01321928460342,1260.25
11,0,3,36.5,51.5,155,1,4,3.00970873786408,1332.25
11,0,3,37.5,51.45,160,1,5,3.10981535471331,1406.25
11,0,3,40.5,59.74,160,1,6,2.67827251422832,1640.25
11,0,3,41.5,56.36,160,1,7,2.8388928317956,1722.25
11,0,3,42.5,60.85,160,1,8,2.62941659819228,1806.25
12,1,3,52,66.1,210,1,1,3.17700453857791,2704
12,1,3,54,66.05,210,1,2,3.17940953822861,2916
12,1,1,60,75,246,1,3,3.28,3600
12,1,1,61,74.1,250,1,4,3.37381916329285,3721
12,1,1,61,75,230,1,5,3.06666666666667,3721
12,1,2,61,74,190,1,6,2.56756756756757,3721
12,1,1,63,72.3,230,1,7,3.18118948824343,3969
13,1,3,20.5,89,272.5,1,1,3.06179775280899,420.25
13,1,3,21.5,89.4,300,1,2,3.35570469798658,462.25
13,1,3,21.5,81.65,282.5,1,3,3.45988977342315,462.25
13,1,3,22.5,87.6,315,1,4,3.5958904109589,506.25
13,1,3,23.5,95.3,340,1,5,3.56768100734523,552.25
13,1,3,24.5,96.2,345,1,6,3.58627858627859,600.25
13,1,3,26.5,98.55,375,1,7,3.80517503805175,702.25
13,1,3,27.5,98,375,1,8,3.8265306122449,756.25
13,1,3,33.5,118.45,385,1,9,3.25031658927818,1122.25
13,1,4,37.5,115.95,346,1,10,2.98404484691677,1406.25
14,1,3,22.5,66.8,285,1,1,4.26646706586826,506.25
14,1,3,22.5,66.7,275,1,2,4.12293853073463,506.25
14,1,3,23.5,67.1,292.5,1,3,4.3591654247392,552.25
14,1,3,24.5,65.35,300,1,4,4.59066564651875,600.25
14,1,3,24.5,65.1,300,1,5,4.60829493087558,600.25
14,1,4,26.5,63.55,200,1,6,3.147128245476,702.25
14,1,4,27.5,65.7,222.5,1,7,3.38660578386606,756.25
14,1,3,27.5,65.2,300,1,8,4.60122699386503,756.25
14,1,4,28.5,65.8,220,1,9,3.34346504559271,812.25
14,1,3,29.5,65.65,290,1,10,4.41736481340442,870.25
14,1,3,30.5,65.45,300,1,11,4.58365164247517,930.25
14,1,3,32.5,65.95,292.5,1,12,4.43517816527672,1056.25
